aw,awLabel,instance,aw_wiki_id,instanceLabel,location,inception,mainsubject,mainsubjectLabel,depicts,depictsLabel,madefrom,height,width,owner,VIAFid,description,parts,image,significantevent
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q219423,Q684689,mural,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q929186,138,147,http://www.wikidata.org/entity/Q1280247,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q219423,Q684689,mural,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q219423,Q684689,mural,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q16905563,Q684689,cycle of paintings,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q16905563,Q684689,cycle of paintings,http://www.wikidata.org/entity/Q40,1902-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q16905563,Q684689,cycle of paintings,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q929186,138,147,http://www.wikidata.org/entity/Q7318,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q897,138,147,http://www.wikidata.org/entity/Q303139,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q16905563,Q684689,cycle of paintings,http://www.wikidata.org/entity/Q265129,1902-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q897,138,147,http://www.wikidata.org/entity/Q699565,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q219423,Q684689,mural,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q929186,138,147,http://www.wikidata.org/entity/Q7318,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q897,138,147,http://www.wikidata.org/entity/Q1280247,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q219423,Q684689,mural,http://www.wikidata.org/entity/Q265129,1901-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q12321255,138,147,http://www.wikidata.org/entity/Q303139,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q897,138,147,http://www.wikidata.org/entity/Q699565,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q684689,Beethoven Frieze,http://www.wikidata.org/entity/Q16905563,Q684689,cycle of paintings,http://www.wikidata.org/entity/Q40,1901-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q5309,215,3414,,176725947,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beethovenfires%20total.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q59468,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q897,138,147,http://www.wikidata.org/entity/Q303139,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
http://www.wikidata.org/entity/Q354396,Portrait of Adele Bloch-Bauer I,http://www.wikidata.org/entity/Q3305213,Q354396,painting,http://www.wikidata.org/entity/Q40,1907-01-01T00:00:00Z,http://www.wikidata.org/entity/Q90205,Adele Bloch-Bauer,http://www.wikidata.org/entity/Q467,woman,http://www.wikidata.org/entity/Q1090,138,147,http://www.wikidata.org/entity/Q303139,176384312,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,
